currency,COP,label.colPesos,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
currency,USD,label.dollar,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
currency,EUR,label.euro,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/6/2012,1774.37,0.1601,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/7/2012,1774.37,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/8/2012,1785.25,0.6094,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/9/2012,1785.25,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/10/2012,1790.25,0.2793,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/11/2012,1785.06,-0.2907,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/12/2012,1787.72,0.1488,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/13/2012,1790.12,0.1341,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/14/2012,1780.21,-0.5567,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/15/2012,1780.21,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/16/2012,1780.21,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/17/2012,1778.42,-0.1007,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/18/2012,1778.97,0.0309,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/19/2012,1778.28,-0.0388,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/20/2012,1775.8,-0.1397,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/21/2012,1775.8,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/22/2012,1775.8,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/23/2012,1775.8,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/24/2012,1790.39,0.8149,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/25/2012,1797.33,0.3861,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/26/2012,1799.48,0.1195,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/27/2012,1789.22,-0.5734,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/28/2012,1791.12,0.1061,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/29/2012,1791.12,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/30/2012,1791.12,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/31/2012,1789.02,-0.1174,TRUE,,,,,,,,,,,,,,,,,,,,,
